term1,term2,snomedct,nci_disease,is_cause,is_treat,relation
olive oil,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C27090,0,37,treat
olive oil,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C159658,0,3,treat
olive oil,osteoporosis,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C3298,0,4,treat
olive oil,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C2938,0,16,treat
olive oil,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C26747,0,19,treat
olive oil mixture,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/227598003,NCI:C2983,0,3,treat
olive oil mixture,psoriasis,http://purl.bioontology.org/ontology/SNOMEDCT/227598003,NCI:C3346,0,3,treat
onion,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,NCI:C9335,0,4,treat
onion,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,NCI:C3117,0,8,treat
other dairy,heart disease,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C3079,0,6,treat
other dairy,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C3117,0,6,treat
other dairy,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C159658,0,6,treat
other dairy,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C26747,0,6,treat
other fruits,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/419420009,NCI:C7378,0,5,treat
other fruits,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/734881000,NCI:C7378,0,5,treat
papaya,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/419420009,NCI:C7378,0,5,treat
papaya,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/734881000,NCI:C7378,0,5,treat
pear,diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/735050002,NCI:C2985,0,2,treat
pear,metabolic diseases,http://purl.bioontology.org/ontology/SNOMEDCT/735050002,NCI:C3235,0,2,treat
peas,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/260184002,NCI:C2985,0,3,treat
potato,renal cell carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,NCI:C9385,0,20,treat
prickly pear,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C2985,0,3,treat
pulses,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227350006,NCI:C26747,0,4,treat
pulses,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/260184002,NCI:C26747,0,4,treat
pumpkin,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227260004,NCI:C2985,0,2,treat
raspberries,arthritis,http://purl.bioontology.org/ontology/SNOMEDCT/227444000,NCI:C2883,0,3,treat
red onion,ovarian cancer,http://purl.bioontology.org/ontology/SNOMEDCT/442361000124108***http://purl.bioontology.org/ontology/SNOMEDCT/735047000,NCI:C7431,0,2,treat
red wine,Breast Cancer,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C9335,0,15,treat
red wine,cerebrovascular disease,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C2938,0,3,treat
red wine,coronary heart disease,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,NCI:C50625,0,2,treat
red wine,coronary heart disease,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C50625,0,11,treat
red wine,coronary heart diseases,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C50625,0,2,treat
red wine,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C2985,0,6,treat
red wine,mammary tumors,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C9335,0,3,treat
red wine,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C26747,0,4,treat
red wine,vascular diseases,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C26693,0,2,treat
rice,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,NCI:C2985,0,3,treat
saffron,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735010000,NCI:C28397,0,3,treat
saffron,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/735010000,NCI:C9305,0,15,treat
strawberries,arthritis,http://purl.bioontology.org/ontology/SNOMEDCT/102261002,NCI:C2883,0,3,treat
sweet potato,malignant tumor,http://purl.bioontology.org/ontology/SNOMEDCT/735053000***http://purl.bioontology.org/ontology/SNOMEDCT/735004000,NCI:C9305,0,2,treat
sweet potato,renal cell carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/735053000***http://purl.bioontology.org/ontology/SNOMEDCT/735004000,NCI:C9385,0,20,treat
tea,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,NCI:C9335,0,10,treat
tea,colon cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C9242,0,9,treat
tea,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,NCI:C4978,0,3,treat
tea,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,NCI:C2985,0,6,treat
tea,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,NCI:C3117,0,5,treat
tea,liver disease,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,NCI:C3196,0,2,treat
tea,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,NCI:C159658,0,3,treat
tea,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C159658,0,4,treat
tea,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,NCI:C159658,0,4,treat
tea,osteoporosis,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,NCI:C3298,0,2,treat
tea,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,NCI:C2938,0,4,treat
thistle,Type 2 diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C26747,0,6,treat
thistle,liver diseases,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C3196,0,7,treat
tofu,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227365007,NCI:C7378,0,2,treat
tomato,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/734881000,NCI:C9305,0,3,treat
tomato,gastritis,http://purl.bioontology.org/ontology/SNOMEDCT/734881000,NCI:C26780,0,2,treat
tomato,gastroesophageal reflux,http://purl.bioontology.org/ontology/SNOMEDCT/734881000,NCI:C26781,0,2,treat
tomato,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/734881000,NCI:C7378,0,23,treat
tomato sauce,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227519005***http://purl.bioontology.org/ontology/SNOMEDCT/734881000***http://purl.bioontology.org/ontology/SNOMEDCT/227536002,NCI:C7378,0,15,treat
turmeric,liver cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227218003,NCI:C34803,0,9,treat
turmeric,liver cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C34803,0,9,treat
turmeric,liver cancer,http://purl.bioontology.org/ontology/SNOMEDCT/256317002,NCI:C34803,0,9,treat
turmeric,liver cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C34803,0,9,treat
vegetables,gastric cancer,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C3387,0,8,treat
vinegar,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C2985,0,5,treat
vinegar,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/260177005,NCI:C2985,0,5,treat
watermelon,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/419420009,NCI:C3117,0,8,treat
watermelon,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/419420009,NCI:C7378,0,5,treat
well-known spice,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/24515005,NCI:C3117,0,3,treat
wheat flour,allergic disease,http://purl.bioontology.org/ontology/SNOMEDCT/229944000***http://purl.bioontology.org/ontology/SNOMEDCT/63766005***http://purl.bioontology.org/ontology/SNOMEDCT/412071004,NCI:C3114,0,5,treat
wheat flour,spina bifida,http://purl.bioontology.org/ontology/SNOMEDCT/229944000***http://purl.bioontology.org/ontology/SNOMEDCT/63766005***http://purl.bioontology.org/ontology/SNOMEDCT/412071004,NCI:C101214,0,3,treat
whey,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C26747,0,7,treat
whey,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C26747,0,7,treat
whey,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C26747,0,7,treat
white wine,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,NCI:C2985,0,4,treat
white wine,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C2985,0,4,treat
wine,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,NCI:C35768,0,3,treat
wine,coronary disease,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,NCI:C50625,0,8,treat
wine,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,NCI:C159658,0,4,treat
yogurt,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C9335,0,15,treat
yogurt,heart disease,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C3079,0,6,treat
yogurt,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C113750,0,2,treat
yogurt,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C3117,0,6,treat
yogurt,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C159658,0,6,treat
yogurt,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C26747,0,7,treat
yogurt,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C26747,0,14,treat
yogurt,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C26747,0,7,treat
