term1,term2,foodb_public_id,mesh_disease,is_cause,is_treat,relation
trifolium pratense,alopecia,FOOD00930,MESH:D000505,0,2,treat
trigonella foenum-graecum,diabetes,FOOD00186,MESH:D003920,0,14,treat
triticum aestivum,diarrhea,FOOD00187,MESH:D004403,0,2,treat
turmeric,liver cancer,FOOD00068,MESH:D008113,0,45,treat
vaccinium macrocarpon,psoriasis,FOOD00192,MESH:D011565,0,3,treat
vaccinium vitis-idaea,obesity,FOOD00194,MESH:D009765,0,4,treat
vinegar,diabetes,FOOD00628,MESH:D003920,0,15,treat
water,dermatitis,FOOD00664,MESH:D003872,0,2,treat
water,diabetes,FOOD00664,MESH:D003920,0,2,treat
water,hyperglycemia,FOOD00664,MESH:D006943,0,10,treat
water,hypertension,FOOD00664,MESH:D006973,0,4,treat
water,obesity,FOOD00664,MESH:D009765,0,3,treat
watermelon,hypertension,FOOD00052,MESH:D006973,0,8,treat
watermelon,prostate cancer,FOOD00052,MESH:D011471,0,5,treat
wheat,spina bifida,FOOD00561,MESH:D016135,0,2,treat
whey,Type 2 diabetes,FOOD00658,MESH:D003924,0,4,treat
whey,glucose intolerance,FOOD00658,MESH:D018149,0,5,treat
whey,metabolic syndrome,FOOD00658,MESH:D008659,0,8,treat
whey,obesity,FOOD00658,MESH:D009765,0,7,treat
whey,type 2 diabetes,FOOD00658,MESH:D003924,0,33,treat
whey,type 2 diabetes mellitus,FOOD00658,MESH:D003924,0,5,treat
white wine,diabetes,FOOD00917,MESH:D003920,0,8,treat
yogurt,breast cancer,FOOD00620,MESH:D001943,0,15,treat
yogurt,heart disease,FOOD00620,MESH:D006331,0,12,treat
yogurt,hyperphosphatemia,FOOD00620,MESH:D054559,0,2,treat
yogurt,hypertension,FOOD00620,MESH:D006973,0,12,treat
yogurt,obesity,FOOD00620,MESH:D009765,0,12,treat
yogurt,stroke,FOOD00620,MESH:D002561,0,10,treat
yogurt,type 2 diabetes,FOOD00620,MESH:D003924,0,34,treat
zea mays,celiac disease,FOOD00205,MESH:D002446,0,2,treat
zingiber officinale,arthritis,FOOD00206,MESH:D001168,0,4,treat
zingiber officinale,bronchitis,FOOD00206,MESH:D001991,0,3,treat
zingiber officinale,cancers,FOOD00206,MESH:D009369,0,16,treat
zingiber officinale,colorectal cancer,FOOD00206,MESH:D015179,0,5,treat
zingiber officinale,constipation,FOOD00206,MESH:D003248,0,7,treat
zingiber officinale,diabetes mellitus,FOOD00206,MESH:D003920,0,4,treat
zingiber officinale,diarrhea,FOOD00206,MESH:D004403,0,10,treat
zingiber officinale,diarrhoea,FOOD00206,MESH:D004403,0,2,treat
zingiber officinale,dysentery,FOOD00206,MESH:D004403,0,3,treat
zingiber officinale,gastrointestinal diseases,FOOD00206,MESH:D004066,0,2,treat
zingiber officinale,gastrointestinal disorders,FOOD00206,MESH:D004066,0,5,treat
zingiber officinale,helminthiasis,FOOD00206,MESH:D006373,0,4,treat
zingiber officinale,hyperglycemia,FOOD00206,MESH:D006943,0,6,treat
zingiber officinale,hypertension,FOOD00206,MESH:D006973,0,7,treat
zingiber officinale,motion sickness,FOOD00206,MESH:D009041,0,2,treat
zingiber officinale,obesity,FOOD00206,MESH:D009765,0,5,treat
zingiber officinale,type 2 diabetes mellitus,FOOD00206,MESH:D003924,0,3,treat
zingiber officinale,ulcerative colitis,FOOD00206,MESH:D003093,0,2,treat
