term1,term2,foodb_public_id,umls_disease,is_cause,is_treat,relation
olive oil,stroke,FOOD00909,UMLS_CUI:C0007820,0,36,treat
olive oil,type 2 diabetes,FOOD00909,UMLS_CUI:C0011860,0,19,treat
opuntia,diabetes,FOOD00440,UMLS_CUI:C0011849,0,2,treat
opuntia,diabetes mellitus,FOOD00440,UMLS_CUI:C0011849,0,5,treat
oryza sativa,celiac disease,FOOD00125,UMLS_CUI:C0007570,0,2,treat
oryza sativa,diabetes,FOOD00125,UMLS_CUI:C0011849,0,3,treat
panax,alopecia,FOOD00219,UMLS_CUI:C0002170,0,2,treat
panax,amnesia,FOOD00219,UMLS_CUI:C0002625,0,2,treat
panax,dementia,FOOD00219,UMLS_CUI:C0154319,0,3,treat
panax,diabetes,FOOD00219,UMLS_CUI:C0011849,0,2,treat
panax,hyperglycemia,FOOD00219,UMLS_CUI:C0020456,0,3,treat
panax,hypertension,FOOD00219,UMLS_CUI:C0020538,0,3,treat
panax,metabolic diseases,FOOD00219,UMLS_CUI:C0025517,0,2,treat
panax,migraine,FOOD00219,UMLS_CUI:C0149931,0,3,treat
panax,obesity,FOOD00219,UMLS_CUI:C0028754,0,2,treat
panax,stroke,FOOD00219,UMLS_CUI:C0007820,0,2,treat
papaya,prostate cancer,FOOD00041,UMLS_CUI:C0033578,0,15,treat
pear,diabetes mellitus,FOOD00152,UMLS_CUI:C0011849,0,2,treat
pear,metabolic diseases,FOOD00152,UMLS_CUI:C0025517,0,2,treat
piper nigrum,cancers,FOOD00139,UMLS_CUI:C0006826,0,15,treat
pisum sativum,anemia,FOOD00141,UMLS_CUI:C0002871,0,2,treat
pisum sativum,asthma,FOOD00141,UMLS_CUI:C0004096,0,2,treat
pisum sativum,measles,FOOD00141,UMLS_CUI:C0025007,0,2,treat
pisum sativum,syphilis,FOOD00141,UMLS_CUI:C0007939,0,2,treat
pisum sativum,yellow fever,FOOD00141,UMLS_CUI:C0043395,0,2,treat
pomegranate,colon cancer,FOOD00151,UMLS_CUI:C0007102,0,10,treat
pomegranate,liver cancer,FOOD00151,UMLS_CUI:C0854795,0,9,treat
pomegranate,prostate cancer,FOOD00151,UMLS_CUI:C0033578,0,5,treat
potato,renal cell carcinoma,FOOD00175,UMLS_CUI:C0007134,0,20,treat
prickly pear,diabetes,FOOD00440,UMLS_CUI:C0011849,0,3,treat
prunus,diarrhea,FOOD00143,UMLS_CUI:C0013369,0,3,treat
pulses,diabetes,FOOD00867,UMLS_CUI:C0011849,0,2,treat
pulses,type 2 diabetes,FOOD00867,UMLS_CUI:C0011860,0,12,treat
punica granatum,cystitis,FOOD00151,UMLS_CUI:C0010692,0,3,treat
punica granatum,diarrhea,FOOD00151,UMLS_CUI:C0013369,0,2,treat
punica granatum,psoriasis,FOOD00151,UMLS_CUI:C0033860,0,3,treat
raphanus sativus,anemia,FOOD00153,UMLS_CUI:C0002871,0,2,treat
raphanus sativus,asthma,FOOD00153,UMLS_CUI:C0004096,0,2,treat
raphanus sativus,measles,FOOD00153,UMLS_CUI:C0025007,0,2,treat
red onion,ovarian cancer,FOOD00962,UMLS_CUI:C1299247,0,4,treat
red wine,Breast Cancer,FOOD00911,UMLS_CUI:C0006142,0,20,treat
red wine,cerebrovascular disease,FOOD00911,UMLS_CUI:C0007820,0,3,treat
red wine,coronary heart disease,FOOD00911,UMLS_CUI:C0151744,0,18,treat
red wine,coronary heart diseases,FOOD00911,UMLS_CUI:C0151744,0,2,treat
red wine,dementia,FOOD00911,UMLS_CUI:C0154319,0,2,treat
red wine,diabetes,FOOD00911,UMLS_CUI:C0011849,0,9,treat
red wine,heart disease,FOOD00911,UMLS_CUI:C0018799,0,3,treat
red wine,lung cancer,FOOD00911,UMLS_CUI:C0024624,0,2,treat
red wine,mammary tumors,FOOD00911,UMLS_CUI:C0006142,0,3,treat
red wine,osteoarthritis,FOOD00911,UMLS_CUI:C0157946,0,2,treat
red wine,type 2 diabetes,FOOD00911,UMLS_CUI:C0011860,0,4,treat
red wine,vascular diseases,FOOD00911,UMLS_CUI:C0752127,0,2,treat
rice,atopic dermatitis,FOOD00125,UMLS_CUI:C0011615,0,3,treat
rice,celiac disease,FOOD00125,UMLS_CUI:C0007570,0,2,treat
rice,diabetes,FOOD00125,UMLS_CUI:C0011849,0,3,treat
saffron,asthma,FOOD00063,UMLS_CUI:C0004096,0,3,treat
saffron,cancers,FOOD00063,UMLS_CUI:C0006826,0,30,treat
salt,stroke,FOOD00647,UMLS_CUI:C0007820,0,3,treat
sisymbrium,anemia,FOOD00475,UMLS_CUI:C0002871,0,2,treat
sisymbrium,asthma,FOOD00475,UMLS_CUI:C0004096,0,2,treat
sisymbrium,measles,FOOD00475,UMLS_CUI:C0025007,0,2,treat
sisymbrium,syphilis,FOOD00475,UMLS_CUI:C0007939,0,2,treat
sisymbrium,yellow fever,FOOD00475,UMLS_CUI:C0043395,0,2,treat
soy bean,pancreatitis,FOOD00085,UMLS_CUI:C0030305,0,4,treat
strawberry,hypertension,FOOD00083,UMLS_CUI:C0020538,0,2,treat
sweet potato,malignant tumor,FOOD00092,UMLS_CUI:C0006826,0,2,treat
sweet potato,renal cell carcinoma,FOOD00092,UMLS_CUI:C0007134,0,20,treat
tea,breast cancer,FOOD00038,UMLS_CUI:C0006142,0,10,treat
tea,colon cancer,FOOD00038,UMLS_CUI:C0007102,0,9,treat
tea,colorectal cancer,FOOD00038,UMLS_CUI:C0346629,0,3,treat
tea,coronary disease,FOOD00038,UMLS_CUI:C0151744,0,8,treat
tea,dementia,FOOD00038,UMLS_CUI:C0154319,0,3,treat
tea,diabetes,FOOD00038,UMLS_CUI:C0011849,0,8,treat
tea,hypertension,FOOD00038,UMLS_CUI:C0020538,0,5,treat
tea,liver disease,FOOD00038,UMLS_CUI:C0023895,0,2,treat
tea,metabolic syndrome,FOOD00038,UMLS_CUI:C0025517,0,2,treat
tea,obesity,FOOD00038,UMLS_CUI:C0028754,0,13,treat
tea,osteoporosis,FOOD00038,UMLS_CUI:C0029456,0,2,treat
tea,stroke,FOOD00038,UMLS_CUI:C0007820,0,4,treat
thistle,Type 2 diabetes mellitus,FOOD00606,UMLS_CUI:C0011860,0,6,treat
thistle,liver diseases,FOOD00606,UMLS_CUI:C0023895,0,9,treat
tofu,prostate cancer,FOOD00696,UMLS_CUI:C0033578,0,2,treat
trifolium pratense,alopecia,FOOD00930,UMLS_CUI:C0002170,0,2,treat
trigonella foenum-graecum,diabetes,FOOD00186,UMLS_CUI:C0011849,0,14,treat
triticum aestivum,diarrhea,FOOD00187,UMLS_CUI:C0013369,0,2,treat
turmeric,liver cancer,FOOD00068,UMLS_CUI:C0854795,0,45,treat
vaccinium macrocarpon,psoriasis,FOOD00192,UMLS_CUI:C0033860,0,3,treat
vaccinium macrocarpon,urinary tract infections,FOOD00192,UMLS_CUI:C0149523,0,4,treat
vaccinium vitis-idaea,obesity,FOOD00194,UMLS_CUI:C0028754,0,4,treat
vinegar,diabetes,FOOD00628,UMLS_CUI:C0011849,0,15,treat
water,dermatitis,FOOD00664,UMLS_CUI:C0011603,0,2,treat
water,diabetes,FOOD00664,UMLS_CUI:C0011849,0,2,treat
water,hyperglycemia,FOOD00664,UMLS_CUI:C0020456,0,10,treat
water,hypertension,FOOD00664,UMLS_CUI:C0020538,0,4,treat
water,obesity,FOOD00664,UMLS_CUI:C0028754,0,3,treat
watermelon,hypertension,FOOD00052,UMLS_CUI:C0020538,0,8,treat
watermelon,prostate cancer,FOOD00052,UMLS_CUI:C0033578,0,5,treat
wheat,spina bifida,FOOD00561,UMLS_CUI:C0080178,0,2,treat
whey,Type 2 diabetes,FOOD00658,UMLS_CUI:C0011860,0,4,treat
whey,glucose intolerance,FOOD00658,UMLS_CUI:C0271650,0,5,treat
whey,metabolic syndrome,FOOD00658,UMLS_CUI:C0025517,0,8,treat
whey,obesity,FOOD00658,UMLS_CUI:C0028754,0,7,treat
whey,type 2 diabetes,FOOD00658,UMLS_CUI:C0011860,0,33,treat
whey,type 2 diabetes mellitus,FOOD00658,UMLS_CUI:C0011860,0,5,treat
white wine,diabetes,FOOD00917,UMLS_CUI:C0011849,0,8,treat
yogurt,breast cancer,FOOD00620,UMLS_CUI:C0006142,0,15,treat
yogurt,heart disease,FOOD00620,UMLS_CUI:C0018799,0,12,treat
yogurt,hyperphosphatemia,FOOD00620,UMLS_CUI:C0085681,0,2,treat
yogurt,hypertension,FOOD00620,UMLS_CUI:C0020538,0,12,treat
yogurt,obesity,FOOD00620,UMLS_CUI:C0028754,0,12,treat
yogurt,stroke,FOOD00620,UMLS_CUI:C0007820,0,10,treat
yogurt,type 2 diabetes,FOOD00620,UMLS_CUI:C0011860,0,34,treat
zea mays,celiac disease,FOOD00205,UMLS_CUI:C0007570,0,2,treat
zingiber officinale,arthritis,FOOD00206,UMLS_CUI:C0003864,0,4,treat
zingiber officinale,bronchitis,FOOD00206,UMLS_CUI:C0149514,0,3,treat
zingiber officinale,cancers,FOOD00206,UMLS_CUI:C0006826,0,16,treat
zingiber officinale,colorectal cancer,FOOD00206,UMLS_CUI:C0346629,0,5,treat
zingiber officinale,constipation,FOOD00206,UMLS_CUI:C0009806,0,7,treat
zingiber officinale,dementia,FOOD00206,UMLS_CUI:C0154319,0,4,treat
zingiber officinale,diabetes mellitus,FOOD00206,UMLS_CUI:C0011849,0,4,treat
zingiber officinale,diarrhea,FOOD00206,UMLS_CUI:C0013369,0,10,treat
zingiber officinale,diarrhoea,FOOD00206,UMLS_CUI:C0013369,0,2,treat
zingiber officinale,dysentery,FOOD00206,UMLS_CUI:C0013369,0,3,treat
zingiber officinale,gastrointestinal diseases,FOOD00206,UMLS_CUI:C0012242,0,2,treat
zingiber officinale,gastrointestinal disorders,FOOD00206,UMLS_CUI:C0012242,0,5,treat
zingiber officinale,helminthiasis,FOOD00206,UMLS_CUI:C0018889,0,4,treat
zingiber officinale,hyperglycemia,FOOD00206,UMLS_CUI:C0020456,0,6,treat
zingiber officinale,hypertension,FOOD00206,UMLS_CUI:C0020538,0,7,treat
zingiber officinale,infectious diseases,FOOD00206,UMLS_CUI:C0001485,0,4,treat
zingiber officinale,motion sickness,FOOD00206,UMLS_CUI:C0026603,0,2,treat
zingiber officinale,obesity,FOOD00206,UMLS_CUI:C0028754,0,5,treat
zingiber officinale,type 2 diabetes mellitus,FOOD00206,UMLS_CUI:C0011860,0,3,treat
zingiber officinale,ulcerative colitis,FOOD00206,UMLS_CUI:C0375359,0,2,treat
