term1,term2,wikipedia_id,umls_disease,is_cause,is_treat,relation
turmeric,liver cancer,Turmeric,UMLS_CUI:C0854795,0,45,treat
vaccinium macrocarpon,psoriasis,Vaccinium macrocarpon,UMLS_CUI:C0033860,0,3,treat
vaccinium macrocarpon,urinary tract infections,Vaccinium macrocarpon,UMLS_CUI:C0149523,0,4,treat
vaccinium vitis-idaea,obesity,Vaccinium vitis-idaea,UMLS_CUI:C0028754,0,4,treat
vinegar,diabetes,Vinegar,UMLS_CUI:C0011849,0,15,treat
water,dermatitis,Water,UMLS_CUI:C0011603,0,2,treat
water,diabetes,Water,UMLS_CUI:C0011849,0,2,treat
water,hyperglycemia,Water,UMLS_CUI:C0020456,0,10,treat
water,hypertension,Water,UMLS_CUI:C0020538,0,4,treat
water,obesity,Water,UMLS_CUI:C0028754,0,3,treat
watermelon,hypertension,Watermelon,UMLS_CUI:C0020538,0,8,treat
watermelon,prostate cancer,Watermelon,UMLS_CUI:C0033578,0,5,treat
wheat,spina bifida,Wheat,UMLS_CUI:C0080178,0,2,treat
whey,Type 2 diabetes,Whey,UMLS_CUI:C0011860,0,4,treat
whey,glucose intolerance,Whey,UMLS_CUI:C0271650,0,5,treat
whey,metabolic syndrome,Whey,UMLS_CUI:C0025517,0,8,treat
whey,obesity,Whey,UMLS_CUI:C0028754,0,7,treat
whey,type 2 diabetes,Whey,UMLS_CUI:C0011860,0,33,treat
whey,type 2 diabetes mellitus,Whey,UMLS_CUI:C0011860,0,5,treat
zea mays,celiac disease,Corn,UMLS_CUI:C0007570,0,2,treat
zingiber officinale,arthritis,Ginger,UMLS_CUI:C0003864,0,4,treat
zingiber officinale,bronchitis,Ginger,UMLS_CUI:C0149514,0,3,treat
zingiber officinale,cancers,Ginger,UMLS_CUI:C0006826,0,16,treat
zingiber officinale,colorectal cancer,Ginger,UMLS_CUI:C0346629,0,5,treat
zingiber officinale,constipation,Ginger,UMLS_CUI:C0009806,0,7,treat
zingiber officinale,dementia,Ginger,UMLS_CUI:C0154319,0,4,treat
zingiber officinale,diabetes mellitus,Ginger,UMLS_CUI:C0011849,0,4,treat
zingiber officinale,diarrhea,Ginger,UMLS_CUI:C0013369,0,10,treat
zingiber officinale,diarrhoea,Ginger,UMLS_CUI:C0013369,0,2,treat
zingiber officinale,dysentery,Ginger,UMLS_CUI:C0013369,0,3,treat
zingiber officinale,gastrointestinal diseases,Ginger,UMLS_CUI:C0012242,0,2,treat
zingiber officinale,gastrointestinal disorders,Ginger,UMLS_CUI:C0012242,0,5,treat
zingiber officinale,helminthiasis,Ginger,UMLS_CUI:C0018889,0,4,treat
zingiber officinale,hyperglycemia,Ginger,UMLS_CUI:C0020456,0,6,treat
zingiber officinale,hypertension,Ginger,UMLS_CUI:C0020538,0,7,treat
zingiber officinale,infectious diseases,Ginger,UMLS_CUI:C0001485,0,4,treat
zingiber officinale,motion sickness,Ginger,UMLS_CUI:C0026603,0,2,treat
zingiber officinale,obesity,Ginger,UMLS_CUI:C0028754,0,5,treat
zingiber officinale,type 2 diabetes mellitus,Ginger,UMLS_CUI:C0011860,0,3,treat
zingiber officinale,ulcerative colitis,Ginger,UMLS_CUI:C0375359,0,2,treat
